Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
2003-2004,Baron Davis,East,2-Nov-03,New Orleans Hornets,G,3-Jun,215,24,UCLA,1999,4
2003-2004,Rashard Lewis,West,2-Nov-03,Seattle SuperSonics,F,10-Jun,235,24,Alief Elsik High School (Texas),1998,5
2002-2003,Tracy McGrady,East,13-Apr-03,Orlando Magic,GF,8-Jun,210,23,Mt. Zion Christian Academy (North Carolina),1997,5
2002-2003,Shawn Marion,West,13-Apr-03,Phoenix Suns,F,7-Jun,228,24,UNLV,1999,3
2002-2003,Jason Kidd,East,6-Apr-03,New Jersey Nets,PG,4-Jun,210,29,California,1994,8
2002-2003,Shaquille O'Neal,West,6-Apr-03,Los Angeles Lakers,C,1-Jul,325,30,LSU,1992,10
2002-2003,Richard Jefferson,East,30-Mar-03,New Jersey Nets,SF,7-Jun,233,22,Arizona,2001,1
2002-2003,Tim Duncan,West,30-Mar-03,San Antonio Spurs,FC,11-Jun,250,26,Wake Forest,1997,5
2002-2003,Ben Wallace,East,23-Mar-03,Detroit Pistons,FC,9-Jun,240,28,Virginia Union,1996,6
2002-2003,Peja Stojakovic,West,23-Mar-03,Sacramento Kings,F,10-Jun,229,25,PAOK BC (Greece),1996,4
2002-2003,Allen Iverson,East,16-Mar-03,Philadelphia Sixers,G,Jun-00,165,27,Georgetown,1996,6
2002-2003,Steve Francis,West,16-Mar-03,Houston Rockets,G,3-Jun,195,26,Maryland,1999,3
2002-2003,Tracy McGrady,East,9-Mar-03,Orlando Magic,GF,8-Jun,210,23,Mt. Zion Christian Academy (North Carolina),1997,5
2002-2003,Shaquille O'Neal,West,9-Mar-03,Los Angeles Lakers,C,1-Jul,325,30,LSU,1992,10
2002-2003,Michael Jordan,East,2-Mar-03,Washington Wizards,SG,6-Jun,215,40,North Carolina,1984,14
2002-2003,Ray Allen,West,2-Mar-03,Seattle SuperSonics,SG,5-Jun,205,27,Connecticut,1996,6
2002-2003,Tracy McGrady,East,23-Feb-03,Orlando Magic,GF,8-Jun,210,23,Mt. Zion Christian Academy (North Carolina),1997,5
2002-2003,Kobe Bryant,West,23-Feb-03,Los Angeles Lakers,SG,6-Jun,212,24,Lower Merion High School (Pennsylvania),1996,6
2002-2003,Allan Houston,East,16-Feb-03,New York Knicks,G,6-Jun,205,31,Tennessee,1993,9
2002-2003,Tim Duncan,West,16-Feb-03,San Antonio Spurs,FC,11-Jun,250,26,Wake Forest,1997,5
2002-2003,Chauncey Billups,East,2-Feb-03,Detroit Pistons,G,3-Jun,210,26,Colorado,1997,5
2002-2003,Kobe Bryant,West,2-Feb-03,Los Angeles Lakers,SG,6-Jun,212,24,Lower Merion High School (Pennsylvania),1996,6
2002-2003,Paul Pierce,East,26-Jan-03,Boston Celtics,SF,7-Jun,235,25,Kansas,1998,4
2002-2003,Tim Duncan,West,26-Jan-03,San Antonio Spurs,FC,11-Jun,250,26,Wake Forest,1997,5
2002-2003,Antoine Walker,East,19-Jan-03,Boston Celtics,F,9-Jun,265,26,Kentucky,1996,6
2002-2003,Steve Francis,West,19-Jan-03,Houston Rockets,G,3-Jun,195,26,Maryland,1999,3
2002-2003,Jermaine O'Neal,East,12-Jan-03,Indiana Pacers,FC,11-Jun,235,24,Eau Claire High School (South Carolina),1996,6
2002-2003,Kobe Bryant,West,12-Jan-03,Los Angeles Lakers,SG,6-Jun,212,24,Lower Merion High School (Pennsylvania),1996,6
2002-2003,Stephon Marbury,West,12-Jan-03,Phoenix Suns,G,2-Jun,180,26,Georgia Tech,1996,6
2002-2003,Michael Jordan,East,5-Jan-03,Washington Wizards,SG,6-Jun,215,40,North Carolina,1984,14
2002-2003,Dirk Nowitzki,West,5-Jan-03,Dallas Mavericks,PF,Jul-00,245,24,DJK Wurzburg (Germany),1998,4
2002-2003,Lucious Harris,East,29-Dec-02,New Jersey Nets,SG,5-Jun,190,32,Long Beach State,1993,9
2002-2003,Tim Duncan,West,29-Dec-02,San Antonio Spurs,FC,11-Jun,250,26,Wake Forest,1997,5
2002-2003,Jason Kidd,East,22-Dec-02,New Jersey Nets,PG,4-Jun,210,29,California,1994,8
2002-2003,Tim Duncan,West,22-Dec-02,San Antonio Spurs,FC,11-Jun,250,26,Wake Forest,1997,5
2002-2003,Antoine Walker,East,15-Dec-02,Boston Celtics,F,9-Jun,265,26,Kentucky,1996,6
2002-2003,Chris Webber,West,15-Dec-02,Sacramento Kings,F-C,9-Jun,245,29,Michigan,1993,9
2002-2003,Paul Pierce,East,8-Dec-02,Boston Celtics,SF,7-Jun,235,25,Kansas,1998,4
2002-2003,Kobe Bryant,West,8-Dec-02,Los Angeles Lakers,SG,6-Jun,212,24,Lower Merion High School (Pennsylvania),1996,6
2002-2003,Allen Iverson,East,1-Dec-02,Philadelphia Sixers,G,Jun-00,165,27,Georgetown,1996,6
2002-2003,Stephon Marbury,West,1-Dec-02,Phoenix Suns,G,2-Jun,180,26,Georgia Tech,1996,6
2002-2003,Allen Iverson,East,24-Nov-02,Philadelphia Sixers,G,Jun-00,165,27,Georgetown,1996,6
2002-2003,Kevin Garnett,West,24-Nov-02,Minnesota Timberwolves,PF,11-Jun,240,26,Farragut Career Academy (Illinois),1995,7
2002-2003,Metta World Peace,East,17-Nov-02,Indiana Pacers,SF,7-Jun,260,23,St. John's,1999,3
2002-2003,Rashard Lewis,West,17-Nov-02,Seattle SuperSonics,F,10-Jun,235,23,Alief Elsik High School (Texas),1998,4
2002-2003,Jerry Stackhouse,East,10-Nov-02,Washington Wizards,SF,6-Jun,218,28,North Carolina,1995,7
2002-2003,Dirk Nowitzki,West,10-Nov-02,Dallas Mavericks,PF,Jul-00,245,24,DJK Wurzburg (Germany),1998,4
2002-2003,Glenn Robinson,East,3-Nov-02,Atlanta Hawks,SF,7-Jun,225,30,Purdue,1994,8
2002-2003,Kobe Bryant,West,3-Nov-02,Los Angeles Lakers,SG,6-Jun,212,24,Lower Merion High School (Pennsylvania),1996,6
2001-2002,Paul Pierce,East,7-Apr-02,Boston Celtics,SF,7-Jun,235,24,Kansas,1998,3
2001-2002,Tim Duncan,West,7-Apr-02,San Antonio Spurs,FC,11-Jun,250,25,Wake Forest,1997,4
2001-2002,Ben Wallace,East,31-Mar-02,Detroit Pistons,FC,9-Jun,240,27,Virginia Union,1996,5
2001-2002,Shawn Marion,West,31-Mar-02,Phoenix Suns,F,7-Jun,228,23,UNLV,1999,2
2001-2002,Jason Kidd,East,24-Mar-02,New Jersey Nets,PG,4-Jun,210,28,California,1994,7
2001-2002,Tim Duncan,West,24-Mar-02,San Antonio Spurs,FC,11-Jun,250,25,Wake Forest,1997,4
2001-2002,Tracy McGrady,East,17-Mar-02,Orlando Magic,GF,8-Jun,210,22,Mt. Zion Christian Academy (North Carolina),1997,4
2001-2002,Tim Duncan,West,17-Mar-02,San Antonio Spurs,FC,11-Jun,250,25,Wake Forest,1997,4
2001-2002,Kurt Thomas,East,10-Mar-02,New York Knicks,FC,9-Jun,240,29,Texas Christian,1995,6
2001-2002,Shaquille O'Neal,West,10-Mar-02,Los Angeles Lakers,C,1-Jul,325,29,LSU,1992,9
2001-2002,Allen Iverson,East,3-Mar-02,Philadelphia Sixers,G,Jun-00,165,26,Georgetown,1996,5
2001-2002,Rasheed Wallace,West,3-Mar-02,Portland Trail Blazers,FC,11-Jun,230,27,North Carolina,1995,6
2001-2002,Ben Wallace,East,24-Feb-02,Detroit Pistons,FC,9-Jun,240,27,Virginia Union,1996,5
2001-2002,Shaquille O'Neal,West,24-Feb-02,Los Angeles Lakers,C,1-Jul,325,29,LSU,1992,9
2001-2002,Andre Miller,East,17-Feb-02,Cleveland Cavaliers,PG,3-Jun,200,25,Utah,1999,2
2001-2002,Karl Malone,West,17-Feb-02,Utah Jazz,PF,9-Jun,265,38,Louisiana Tech,1985,16
2001-2002,Jason Kidd,East,3-Feb-02,New Jersey Nets,PG,4-Jun,210,28,California,1994,7
2001-2002,Shaquille O'Neal,West,3-Feb-02,Los Angeles Lakers,C,1-Jul,325,29,LSU,1992,9
2001-2002,Allen Iverson,East,27-Jan-02,Philadelphia Sixers,G,Jun-00,165,26,Georgetown,1996,5
2001-2002,Dirk Nowitzki,West,27-Jan-02,Dallas Mavericks,PF,Jul-00,245,23,DJK Wurzburg (Germany),1998,3
2001-2002,Allen Iverson,East,20-Jan-02,Philadelphia Sixers,G,Jun-00,165,26,Georgetown,1996,5
2001-2002,Kobe Bryant,West,20-Jan-02,Los Angeles Lakers,SG,6-Jun,212,23,Lower Merion High School (Pennsylvania),1996,5
2001-2002,Ray Allen,East,13-Jan-02,Milwaukee Bucks,SG,5-Jun,205,26,Connecticut,1996,5
2001-2002,Kevin Garnett,West,13-Jan-02,Minnesota Timberwolves,PF,11-Jun,240,25,Farragut Career Academy (Illinois),1995,6
2001-2002,Eddie Jones,East,6-Jan-02,Miami Heat,G-F,6-Jun,200,30,Temple,1994,7
2001-2002,Chris Webber,West,6-Jan-02,Sacramento Kings,F-C,9-Jun,245,28,Michigan,1993,8
2001-2002,Jason Kidd,East,30-Dec-01,New Jersey Nets,PG,4-Jun,210,28,California,1994,7
2001-2002,Tim Duncan,West,30-Dec-01,San Antonio Spurs,FC,11-Jun,250,25,Wake Forest,1997,4
2001-2002,Jermaine O'Neal,East,23-Dec-01,Indiana Pacers,FC,11-Jun,235,23,Eau Claire High School (South Carolina),1996,5
2001-2002,Gary Payton,West,23-Dec-01,Seattle SuperSonics,G,4-Jun,180,33,Oregon State,1990,11
2001-2002,Richard Hamilton,East,16-Dec-01,Washington Wizards,SG,7-Jun,193,24,Connecticut,1999,2
2001-2002,Steve Nash,West,16-Dec-01,Dallas Mavericks,G,3-Jun,178,28,Santa Clara,1996,5
2001-2002,Andre Miller,East,9-Dec-01,Cleveland Cavaliers,PG,3-Jun,200,25,Utah,1999,2
2001-2002,Elton Brand,West,9-Dec-01,Los Angeles Clippers,PF,9-Jun,254,22,Duke,1999,2
2001-2002,Paul Pierce,East,2-Dec-01,Boston Celtics,SF,7-Jun,235,24,Kansas,1998,3
2001-2002,Stephon Marbury,West,2-Dec-01,Phoenix Suns,G,2-Jun,180,25,Georgia Tech,1996,5
2001-2002,Shareef Abdur-Rahim,East,25-Nov-01,Atlanta Hawks,F,9-Jun,225,25,California,1996,5
2001-2002,Tim Duncan,West,25-Nov-01,San Antonio Spurs,FC,11-Jun,250,25,Wake Forest,1997,4
2001-2002,Allen Iverson,East,18-Nov-01,Philadelphia Sixers,G,Jun-00,165,26,Georgetown,1996,5
2001-2002,Kevin Garnett,West,18-Nov-01,Minnesota Timberwolves,PF,11-Jun,240,25,Farragut Career Academy (Illinois),1995,6
2001-2002,Vince Carter,East,11-Nov-01,Toronto Raptors,SF,6-Jun,220,25,North Carolina,1998,3
2001-2002,Tim Duncan,West,11-Nov-01,San Antonio Spurs,FC,11-Jun,250,25,Wake Forest,1997,4
2001-2002,Ray Allen,East,4-Nov-01,Milwaukee Bucks,SG,5-Jun,205,26,Connecticut,1996,5
2001-2002,Kobe Bryant,West,4-Nov-01,Los Angeles Lakers,SG,6-Jun,212,23,Lower Merion High School (Pennsylvania),1996,5
2000-2001,Ray Allen,,15-Apr-01,Milwaukee Bucks,SG,5-Jun,205,25,Connecticut,1996,4
2000-2001,Shaquille O'Neal,,8-Apr-01,Los Angeles Lakers,C,1-Jul,325,28,LSU,1992,8
2000-2001,Jason Kidd,,1-Apr-01,Phoenix Suns,PG,4-Jun,210,27,California,1994,6
2000-2001,Paul Pierce,,25-Mar-01,Boston Celtics,SF,7-Jun,235,23,Kansas,1998,2
2000-2001,Cuttino Mobley,,18-Mar-01,Houston Rockets,G,4-Jun,190,25,Rhode Island,1998,2
2000-2001,Derek Anderson,,11-Mar-01,San Antonio Spurs,G,5-Jun,194,26,Kentucky,1997,3
2000-2001,Vince Carter,,4-Mar-01,Toronto Raptors,SF,6-Jun,220,24,North Carolina,1998,2
2000-2001,Shawn Marion,,25-Feb-01,Phoenix Suns,F,7-Jun,228,22,UNLV,1999,1
2000-2001,Allen Iverson,,18-Feb-01,Philadelphia Sixers,G,Jun-00,165,25,Georgetown,1996,4
2000-2001,Darrell Armstrong,,4-Feb-01,Orlando Magic,PG,Jun-00,170,32,Fayetteville State,1991,6
2000-2001,Tim Duncan,,28-Jan-01,San Antonio Spurs,FC,11-Jun,250,24,Wake Forest,1997,3
2000-2001,Chris Webber,,22-Jan-01,Sacramento Kings,F-C,9-Jun,245,28,Michigan,1993,7
2000-2001,Steve Francis,,14-Jan-01,Houston Rockets,G,3-Jun,195,24,Maryland,1999,1
2000-2001,Allen Iverson,,7-Jan-01,Philadelphia Sixers,G,Jun-00,165,25,Georgetown,1996,4
2000-2001,Aaron McKie,,31-Dec-00,Philadelphia Sixers,G,5-Jun,209,28,Temple,1994,6
2000-2001,Kobe Bryant,,24-Dec-00,Los Angeles Lakers,SG,6-Jun,212,22,Lower Merion High School (Pennsylvania),1996,4
2000-2001,Glenn Robinson,,17-Dec-00,Milwaukee Bucks,SF,7-Jun,225,28,Purdue,1994,6
2000-2001,Chris Webber,,10-Dec-00,Sacramento Kings,F-C,9-Jun,245,28,Michigan,1993,7
2000-2001,Antonio McDyess,,3-Dec-00,Denver Nuggets,F,9-Jun,245,26,Alabama,1995,5
2000-2001,Baron Davis,,26-Nov-00,Charlotte Hornets,G,3-Jun,215,21,UCLA,1999,1
2000-2001,Kevin Garnett,,19-Nov-00,Minnesota Timberwolves,PF,11-Jun,240,24,Farragut Career Academy (Illinois),1995,5
2000-2001,Stephon Marbury,,12-Nov-00,New Jersey Nets,G,2-Jun,180,24,Georgia Tech,1996,4
2000-2001,Karl Malone,,6-Nov-00,Utah Jazz,PF,9-Jun,265,37,Louisiana Tech,1985,15
2000-2001,John Stockton,,6-Nov-00,Utah Jazz,PG,1-Jun,170,38,Gonzaga,1984,16
1999-2000,Kobe Bryant,,17-Apr-00,Los Angeles Lakers,SG,6-Jun,212,21,Lower Merion High School (Pennsylvania),1996,3
1999-2000,Alonzo Mourning,,10-Apr-00,Miami Heat,C,10-Jun,240,30,Georgetown,1992,7
1999-2000,Tim Duncan,,3-Apr-00,San Antonio Spurs,FC,11-Jun,250,23,Wake Forest,1997,2
1999-2000,Kevin Garnett,,27-Mar-00,Minnesota Timberwolves,PF,11-Jun,240,23,Farragut Career Academy (Illinois),1995,4
1999-2000,Jalen Rose,,20-Mar-00,Indiana Pacers,G,8-Jun,210,27,Michigan,1994,5
1999-2000,Shaquille O'Neal,,13-Mar-00,Los Angeles Lakers,C,1-Jul,325,27,LSU,1992,7
1999-2000,Karl Malone,,6-Mar-00,Utah Jazz,PF,9-Jun,265,36,Louisiana Tech,1985,14
1999-2000,Vince Carter,,28-Feb-00,Toronto Raptors,SF,6-Jun,220,23,North Carolina,1998,1
1999-2000,Shaquille O'Neal,,22-Feb-00,Los Angeles Lakers,C,1-Jul,325,27,LSU,1992,7
1999-2000,Michael Finley,,7-Feb-00,Dallas Mavericks,G-F,7-Jun,225,26,Wisconsin,1995,4
1999-2000,Dikembe Mutombo,,31-Jan-00,Atlanta Hawks,C,2-Jul,260,33,Georgetown,1991,8
1999-2000,Steve Francis,,24-Jan-00,Houston Rockets,G,3-Jun,195,23,Maryland,1999,0
1999-2000,Chris Webber,,17-Jan-00,Sacramento Kings,F-C,9-Jun,245,27,Michigan,1993,6
1999-2000,Grant Hill,,10-Jan-00,Detroit Pistons,SF,8-Jun,225,27,Duke,1994,5
1999-2000,Chris Webber,,3-Jan-00,Sacramento Kings,F-C,9-Jun,245,27,Michigan,1993,6
1999-2000,Kevin Garnett,,27-Dec-99,Minnesota Timberwolves,PF,11-Jun,240,23,Farragut Career Academy (Illinois),1995,4
1999-2000,Jason Kidd,,20-Dec-99,Phoenix Suns,PG,4-Jun,210,26,California,1994,5
1999-2000,Alonzo Mourning,,13-Dec-99,Miami Heat,C,10-Jun,240,30,Georgetown,1992,7
1999-2000,Shaquille O'Neal,,5-Dec-99,Los Angeles Lakers,C,1-Jul,325,27,LSU,1992,7
1999-2000,Tim Duncan,,28-Nov-99,San Antonio Spurs,FC,11-Jun,250,23,Wake Forest,1997,2
1999-2000,Vince Carter,,21-Nov-99,Toronto Raptors,SF,6-Jun,220,23,North Carolina,1998,1
1999-2000,Kevin Garnett,,14-Nov-99,Minnesota Timberwolves,PF,11-Jun,240,23,Farragut Career Academy (Illinois),1995,4
1999-2000,Sam Cassell,,7-Nov-99,Milwaukee Bucks,G,3-Jun,185,30,Florida State,1993,6
1998-1999,Grant Hill,,2-May-99,Detroit Pistons,SF,8-Jun,225,26,Duke,1994,4
1998-1999,Chris Webber,,25-Apr-99,Sacramento Kings,F-C,9-Jun,245,25,Michigan,1993,5
1998-1999,Jason Kidd,,18-Apr-99,Phoenix Suns,PG,4-Jun,210,25,California,1994,4
1998-1999,Karl Malone,,11-Apr-99,Utah Jazz,PF,9-Jun,265,35,Louisiana Tech,1985,13
1998-1999,Kevin Garnett,,4-Apr-99,Minnesota Timberwolves,PF,11-Jun,240,22,Farragut Career Academy (Illinois),1995,3
1998-1999,Darrell Armstrong,,28-Mar-99,Orlando Magic,PG,Jun-00,170,30,Fayetteville State,1991,4
1998-1999,Vince Carter,,21-Mar-99,Toronto Raptors,SF,6-Jun,220,22,North Carolina,1998,0
1998-1999,Alonzo Mourning,,14-Mar-99,Miami Heat,C,10-Jun,240,29,Georgetown,1992,6
1998-1999,Tim Duncan,,7-Mar-99,San Antonio Spurs,FC,11-Jun,250,22,Wake Forest,1997,1
1998-1999,Antonio McDyess,,28-Feb-99,Denver Nuggets,F,9-Jun,245,24,Alabama,1995,3
1998-1999,Stephon Marbury,,21-Feb-99,Minnesota Timberwolves,G,2-Jun,180,22,Georgia Tech,1996,2
1998-1999,Gary Payton,,14-Feb-99,Seattle SuperSonics,G,4-Jun,180,30,Oregon State,1990,8
1998-1999,Dikembe Mutombo,,7-Feb-99,Atlanta Hawks,C,2-Jul,260,32,Georgetown,1991,7
1997-1998,Jason Kidd,,19-Apr-98,Phoenix Suns,PG,4-Jun,210,24,California,1994,3
1997-1998,Sam Cassell,,12-Apr-98,New Jersey Nets,G,3-Jun,185,28,Florida State,1993,4
1997-1998,Michael Jordan,,5-Apr-98,Chicago Bulls,SG,6-Jun,215,35,North Carolina,1984,12
1997-1998,Alonzo Mourning,,29-Mar-98,Miami Heat,C,10-Jun,240,28,Georgetown,1992,5
1997-1998,Shaquille O'Neal,,22-Mar-98,Los Angeles Lakers,C,1-Jul,325,25,LSU,1992,5
1997-1998,Jason Kidd,,15-Mar-98,Phoenix Suns,PG,4-Jun,210,24,California,1994,3
1997-1998,Karl Malone,,8-Mar-98,Utah Jazz,PF,9-Jun,265,34,Louisiana Tech,1985,12
1997-1998,Tim Duncan,,1-Mar-98,San Antonio Spurs,FC,11-Jun,250,21,Wake Forest,1997,0
1997-1998,Nick Anderson,,22-Feb-98,Orlando Magic,GF,6-Jun,228,30,Illinois,1989,8
1997-1998,Karl Malone,,15-Feb-98,Utah Jazz,PF,9-Jun,265,34,Louisiana Tech,1985,12
1997-1998,David Robinson,,1-Feb-98,San Antonio Spurs,C,1-Jul,250,32,Navy,1987,8
1997-1998,Jayson Williams,,25-Jan-98,New Jersey Nets,FC,10-Jun,245,30,St. John's,1990,7
1997-1998,Allen Iverson,,18-Jan-98,Philadelphia Sixers,G,Jun-00,165,22,Georgetown,1996,1
1997-1998,Steve Smith,,11-Jan-98,Atlanta Hawks,SG,7-Jun,200,28,Michigan State,1991,6
1997-1998,Rik Smits,,4-Jan-98,Indiana Pacers,C,4-Jul,250,31,Marist,1988,9
1997-1998,David Robinson,,28-Dec-97,San Antonio Spurs,C,1-Jul,250,32,Navy,1987,8
1997-1998,Michael Jordan,,21-Dec-97,Chicago Bulls,SG,6-Jun,215,35,North Carolina,1984,12
1997-1998,Glen Rice,,14-Dec-97,Charlotte Hornets,SF,8-Jun,228,30,Michigan,1989,8
1997-1998,Wesley Person,,7-Dec-97,Cleveland Cavaliers,SG,6-Jun,195,26,Auburn,1994,3
1997-1998,Karl Malone,,30-Nov-97,Utah Jazz,PF,9-Jun,265,34,Louisiana Tech,1985,12
1997-1998,Michael Jordan,,23-Nov-97,Chicago Bulls,SG,6-Jun,215,35,North Carolina,1984,12
1997-1998,Shaquille O'Neal,,16-Nov-97,Los Angeles Lakers,C,1-Jul,325,25,LSU,1992,5
1997-1998,Dikembe Mutombo,,9-Nov-97,Atlanta Hawks,C,2-Jul,260,31,Georgetown,1991,6
1996-1997,Chris Webber,,20-Apr-97,Washington Bullets,F-C,9-Jun,245,24,Michigan,1993,3
1996-1997,Allen Iverson,,13-Apr-97,Philadelphia Sixers,G,Jun-00,165,21,Georgetown,1996,0
1996-1997,Grant Hill,,6-Apr-97,Detroit Pistons,SF,8-Jun,225,24,Duke,1994,2
1996-1997,Kevin Johnson,,30-Mar-97,Phoenix Suns,PG,1-Jun,180,30,California,1987,9
1996-1997,Karl Malone,,23-Mar-97,Utah Jazz,PF,9-Jun,265,33,Louisiana Tech,1985,11
1996-1997,Karl Malone,,16-Mar-97,Utah Jazz,PF,9-Jun,265,33,Louisiana Tech,1985,11
1996-1997,Patrick Ewing,,9-Mar-97,New York Knicks,C,Jul-00,240,34,Georgetown,1985,11
1996-1997,Loy Vaught,,2-Mar-97,Los Angeles Clippers,PF,9-Jun,230,30,Michigan,1990,6
1996-1997,Scottie Pippen,,23-Feb-97,Chicago Bulls,SF,8-Jun,228,31,Central Arkansas,1987,9
1996-1997,Alonzo Mourning,,16-Feb-97,Miami Heat,C,10-Jun,240,27,Georgetown,1992,4
1996-1997,Glen Rice,,2-Feb-97,Charlotte Hornets,SF,8-Jun,228,29,Michigan,1989,7
1996-1997,Mitch Richmond,,26-Jan-97,Sacramento Kings,SG,5-Jun,215,31,Kansas State,1988,8
1996-1997,Grant Hill,,19-Jan-97,Detroit Pistons,SF,8-Jun,225,24,Duke,1994,2
1996-1997,Glenn Robinson,,12-Jan-97,Milwaukee Bucks,SF,7-Jun,225,24,Purdue,1994,2
1996-1997,Glen Rice,,5-Jan-97,Charlotte Hornets,SF,8-Jun,228,29,Michigan,1989,7
1996-1997,Tim Hardaway,,29-Dec-96,Miami Heat,PG,Jun-00,175,30,UTEP,1989,7
1996-1997,Terrell Brandon,,22-Dec-96,Cleveland Cavaliers,PG,11-May,180,26,Oregon,1991,5
1996-1997,Shaquille O'Neal,,15-Dec-96,Los Angeles Lakers,C,1-Jul,325,24,LSU,1992,4
1996-1997,Terry Mills,,8-Dec-96,Detroit Pistons,PF,10-Jun,230,29,Michigan,1990,6
1996-1997,Dikembe Mutombo,,1-Dec-96,Atlanta Hawks,C,2-Jul,260,30,Georgetown,1991,5
1996-1997,Charles Barkley,,24-Nov-96,Houston Rockets,PF,6-Jun,252,34,Auburn,1984,12
1996-1997,Karl Malone,,24-Nov-96,Utah Jazz,PF,9-Jun,265,33,Louisiana Tech,1985,11
1996-1997,Dale Ellis,,17-Nov-96,Denver Nuggets,GF,7-Jun,205,36,Tennessee,1983,13
1996-1997,Hakeem Olajuwon,,10-Nov-96,Houston Rockets,C,Jul-00,255,34,Houston,1984,12
1995-1996,Dennis Scott,,21-Apr-96,Orlando Magic,SF,8-Jun,229,27,Georgia Tech,1990,5
1995-1996,Juwan Howard,,14-Apr-96,Washington Bullets,PF,9-Jun,240,23,Michigan,1994,1
1995-1996,Kevin Johnson,,7-Apr-96,Phoenix Suns,PG,1-Jun,180,29,California,1987,8
1995-1996,Arvydas Sabonis,,31-Mar-96,Portland Trail Blazers,C,3-Jul,279,31,Zalgiris (Lithuania),1986,0
1995-1996,Chris Gatling,,24-Mar-96,Miami Heat,PF,10-Jun,220,28,Old Dominion,1991,4
1995-1996,Grant Hill,,17-Mar-96,Detroit Pistons,SF,8-Jun,225,23,Duke,1994,1
1995-1996,Michael Jordan,,10-Mar-96,Chicago Bulls,SG,6-Jun,215,33,North Carolina,1984,10
1995-1996,Shaquille O'Neal,,3-Mar-96,Orlando Magic,C,1-Jul,325,23,LSU,1992,3
1995-1996,Hakeem Olajuwon,,3-Mar-96,Houston Rockets,C,Jul-00,255,33,Houston,1984,11
1995-1996,Shawn Kemp,,25-Feb-96,Seattle SuperSonics,C,10-Jun,280,26,Trinity Valley CC,1989,6
1995-1996,Armen Gilliam,,18-Feb-96,New Jersey Nets,PF,9-Jun,230,31,UNLV,1987,8
1995-1996,Jason Kidd,,4-Feb-96,Dallas Mavericks,PG,4-Jun,210,22,California,1994,1
1995-1996,Reggie Miller,,28-Jan-96,Indiana Pacers,SG,7-Jun,185,30,UCLA,1987,8
1995-1996,Michael Jordan,,21-Jan-96,Chicago Bulls,SG,6-Jun,215,33,North Carolina,1984,10
1995-1996,David Robinson,,14-Jan-96,San Antonio Spurs,C,1-Jul,250,30,Navy,1987,6
1995-1996,Cliff Robinson,,7-Jan-96,Portland Trail Blazers,PF,10-Jun,225,29,Connecticut,1989,6
1995-1996,Karl Malone,,31-Dec-95,Utah Jazz,PF,9-Jun,265,32,Louisiana Tech,1985,10
1995-1996,Michael Jordan,,24-Dec-95,Chicago Bulls,SG,6-Jun,215,33,North Carolina,1984,10
1995-1996,Scottie Pippen,,17-Dec-95,Chicago Bulls,SF,8-Jun,228,30,Central Arkansas,1987,8
1995-1996,Dikembe Mutombo,,10-Dec-95,Denver Nuggets,C,2-Jul,260,29,Georgetown,1991,4
1995-1996,Terrell Brandon,,3-Dec-95,Cleveland Cavaliers,PG,11-May,180,25,Oregon,1991,4
1995-1996,Shawn Kemp,,26-Nov-95,Seattle SuperSonics,C,10-Jun,280,26,Trinity Valley CC,1989,6
1995-1996,Cedric Ceballos,,19-Nov-95,Los Angeles Lakers,SF,6-Jun,190,26,Cal State Fullerton,1990,5
1995-1996,Penny Hardaway,,12-Nov-95,Orlando Magic,PG,7-Jun,195,24,Memphis,1993,2
1994-1995,Karl Malone,,23-Apr-95,Utah Jazz,PF,9-Jun,265,31,Louisiana Tech,1985,9
1994-1995,Dikembe Mutombo,,16-Apr-95,Denver Nuggets,C,2-Jul,260,28,Georgetown,1991,3
1994-1995,Clyde Drexler,,9-Apr-95,Houston Rockets,SG,7-Jun,210,32,Houston,1983,11
1994-1995,David Robinson,,2-Apr-95,San Antonio Spurs,C,1-Jul,250,29,Navy,1987,5
1994-1995,Vlade Divac,,26-Mar-95,Los Angeles Lakers,C,1-Jul,260,27,KK Partizan (Serbia),1989,5
1994-1995,Jason Kidd,,19-Mar-95,Dallas Mavericks,PG,4-Jun,210,21,California,1994,0
1994-1995,Rik Smits,,12-Mar-95,Indiana Pacers,C,4-Jul,250,28,Marist,1988,6
1994-1995,Shaquille O'Neal,,5-Mar-95,Orlando Magic,C,1-Jul,325,22,LSU,1992,2
1994-1995,Rod Strickland,,26-Feb-95,Portland Trail Blazers,PG,3-Jun,175,28,DePaul,1988,6
1994-1995,Charles Barkley,,19-Feb-95,Phoenix Suns,PF,6-Jun,252,32,Auburn,1984,10
1994-1995,Hakeem Olajuwon,,5-Feb-95,Houston Rockets,C,Jul-00,255,32,Houston,1984,10
1994-1995,John Stockton,,29-Jan-95,Utah Jazz,PG,1-Jun,170,32,Gonzaga,1984,10
1994-1995,Patrick Ewing,,22-Jan-95,New York Knicks,C,Jul-00,240,32,Georgetown,1985,9
1994-1995,Larry Johnson,,15-Jan-95,Charlotte Hornets,F,6-Jun,250,25,UNLV,1991,3
1994-1995,Gary Payton,,8-Jan-95,Seattle SuperSonics,G,4-Jun,180,26,Oregon State,1990,4
1994-1995,Hakeem Olajuwon,,1-Jan-95,Houston Rockets,C,Jul-00,255,32,Houston,1984,10
