Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
2014-2015,Russell Westbrook,West,9-Feb-15,Oklahoma City Thunder,G,3-Jun,200,26,UCLA,2008,6
2014-2015,Kyrie Irving,East,2-Feb-15,Cleveland Cavaliers,G,3-Jun,193,22,Duke,2011,3
2014-2015,Zach Randolph,West,2-Feb-15,Memphis Grizzlies,PF,9-Jun,260,33,Michigan State,2001,13
2014-2015,LeBron James,East,26-Jan-15,Cleveland Cavaliers,F,8-Jun,250,30,St. Vincent St. Mary High School (Ohio),2003,11
2014-2015,Klay Thompson,West,26-Jan-15,Golden State Warriors,G,7-Jun,215,25,Washington State,2011,3
2014-2015,Al Horford,East,19-Jan-15,Atlanta Hawks,FC,10-Jun,245,28,Florida,2007,7
2014-2015,Mo Williams,West,19-Jan-15,Minnesota Timberwolves,G,1-Jun,198,32,Alabama,2003,11
2014-2015,Kemba Walker,East,12-Jan-15,Charlotte Hornets,G,1-Jun,184,24,Connecticut,2011,3
2014-2015,Klay Thompson,West,12-Jan-15,Golden State Warriors,G,7-Jun,215,25,Washington State,2011,3
2014-2015,Jeff Teague,East,5-Jan-15,Atlanta Hawks,PG,2-Jun,186,26,Wake Forest,2009,5
2014-2015,Kevin Durant,West,5-Jan-15,Oklahoma City Thunder,SF,9-Jun,240,26,Texas,2007,7
2014-2015,Jimmy Butler,East,29-Dec-14,Chicago Bulls,GF,8-Jun,236,25,Marquette,2011,3
2014-2015,James Harden,West,29-Dec-14,Houston Rockets,SG,5-Jun,220,25,Arizona State,2009,5
2014-2015,Al Horford,East,22-Dec-14,Atlanta Hawks,FC,10-Jun,245,28,Florida,2007,7
2014-2015,LaMarcus Aldridge,West,22-Dec-14,Portland Trail Blazers,FC,11-Jun,260,29,Texas,2006,8
2014-2015,John Wall,East,15-Dec-14,Washington Wizards,PG,4-Jun,210,24,Kentucky,2010,4
2014-2015,James Harden,West,15-Dec-14,Houston Rockets,SG,5-Jun,220,25,Arizona State,2009,5
2014-2015,Kyle Lowry,East,8-Dec-14,Toronto Raptors,PG,1-Jun,196,28,Villanova,2006,8
2014-2015,LaMarcus Aldridge,West,8-Dec-14,Portland Trail Blazers,FC,11-Jun,260,29,Texas,2006,8
2014-2015,LeBron James,East,1-Dec-14,Cleveland Cavaliers,F,8-Jun,250,30,St. Vincent St. Mary High School (Ohio),2003,11
2014-2015,Blake Griffin,West,1-Dec-14,Los Angeles Clippers,PF,10-Jun,250,25,Oklahoma,2009,5
2014-2015,Lou Williams,East,24-Nov-14,Toronto Raptors,G,1-Jun,175,28,South Gwinnett High School (Georgia),2005,9
2014-2015,DeMarcus Cousins,West,24-Nov-14,Sacramento Kings,C,11-Jun,270,24,Kentucky,2010,4
2014-2015,LeBron James,East,17-Nov-14,Cleveland Cavaliers,F,8-Jun,250,30,St. Vincent St. Mary High School (Ohio),2003,11
2014-2015,Damian Lillard,West,17-Nov-14,Portland Trail Blazers,G,3-Jun,195,24,Weber State,2012,2
2014-2015,Deron Williams,East,10-Nov-14,Brooklyn Nets,PG,3-Jun,200,30,Illinois,2005,9
2014-2015,Stephen Curry,West,10-Nov-14,Golden State Warriors,G,3-Jun,190,26,Davidson,2009,5
2014-2015,Chris Bosh,East,3-Nov-14,Miami Heat,PF,11-Jun,235,30,Georgia Tech,2003,11
2014-2015,Klay Thompson,West,3-Nov-14,Golden State Warriors,G,7-Jun,215,25,Washington State,2011,3
2013-2014,Jeff Teague,East,14-Apr-14,Atlanta Hawks,PG,2-Jun,186,25,Wake Forest,2009,4
2013-2014,Monta Ellis,West,14-Apr-14,Dallas Mavericks,G,3-Jun,185,28,Lanier High School (Mississippi),2005,8
2013-2014,Al Jefferson,East,7-Apr-14,Charlotte Bobcats,FC,10-Jun,289,29,Prentiss High School (Mississippi),2004,9
2013-2014,Dirk Nowitzki,West,7-Apr-14,Dallas Mavericks,PF,Jul-00,245,35,DJK Wurzburg (Germany),1998,15
2013-2014,Nikola Vucevic,East,31-Mar-14,Orlando Magic,PF,Jul-00,260,23,USC,2011,2
2013-2014,Tim Duncan,West,31-Mar-14,San Antonio Spurs,FC,11-Jun,250,37,Wake Forest,1997,16
2013-2014,Joe Johnson,East,24-Mar-14,Brooklyn Nets,SG,7-Jun,240,32,Arkansas,2001,12
2013-2014,Kevin Durant,West,24-Mar-14,Oklahoma City Thunder,SF,9-Jun,240,25,Texas,2007,6
2013-2014,Al Jefferson,East,17-Mar-14,Charlotte Bobcats,FC,10-Jun,289,29,Prentiss High School (Mississippi),2004,9
2013-2014,Blake Griffin,West,17-Mar-14,Los Angeles Clippers,PF,10-Jun,250,24,Oklahoma,2009,4
2013-2014,Carmelo Anthony,East,10-Mar-14,New York Knicks,F,8-Jun,240,29,Syracuse,2003,10
2013-2014,James Harden,West,10-Mar-14,Houston Rockets,SG,5-Jun,220,24,Arizona State,2009,4
2013-2014,John Wall,East,3-Mar-14,Washington Wizards,PG,4-Jun,210,23,Kentucky,2010,3
2013-2014,James Harden,West,3-Mar-14,Houston Rockets,SG,5-Jun,220,24,Arizona State,2009,4
2013-2014,Kemba Walker,East,24-Feb-14,Charlotte Bobcats,G,1-Jun,184,23,Connecticut,2011,2
2013-2014,Kevin Love,West,24-Feb-14,Minnesota Timberwolves,FC,10-Jun,251,25,UCLA,2008,5
2013-2014,Jared Sullinger,East,10-Feb-14,Boston Celtics,C,9-Jun,260,21,Ohio State,2012,1
2013-2014,Kevin Durant,West,10-Feb-14,Oklahoma City Thunder,SF,9-Jun,240,25,Texas,2007,6
2013-2014,Kyle Lowry,East,3-Feb-14,Toronto Raptors,PG,1-Jun,196,27,Villanova,2006,7
2013-2014,Goran Dragic,West,3-Feb-14,Phoenix Suns,G,3-Jun,190,27,Union Olimpija (Slovenia),2008,5
